;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;;0 a 4;102.884;52.799;50.085;105,4;94,9;;;;;;;;;;;;;
;;5 a 9;109.696;56.011;53.685;104,3;95,8;;;;;;;;;;;;;
;;10 a 14;113.721;57.899;55.822;103,7;96,4;;;;;;;;;;;;;
;;15 a 19;122.386;61.983;60.403;102,6;97,5;;;;;;;;;;;;;
;;20 a 24;139.123;69.197;69.926;99,0;101,1;;;;;;;;;;;;;
;;25 a 29;130.922;64.203;66.719;96,2;103,9;;;;;;;;;;;;;
;;30 a 34;119.704;58.564;61.140;95,8;104,4;;;;;;;;;;;;;
;;35 a 39;114.597;54.928;59.669;92,1;108,6;;;;;;;;;;;;;
;;40 a 44;98.797;45.720;53.077;86,1;116,1;;;;;;;;;;;;;
;;45 a 49;97.524;44.144;53.380;82,7;120,9;;;;;;;;;;;;;
;;50 a 54;95.744;42.714;53.030;80,5;124,2;;;;;;;;;;;;;
;;55 a 59;82.485;36.393;46.092;79,0;126,7;;;;;;;;;;;;;
;;60 a 64;65.434;28.582;36.852;77,6;128,9;;;;;;;;;;;;;
;;65 a 69;49.985;21.874;28.111;77,8;128,5;;;;;;;;;;;;;
;;70 a 74;36.916;15.642;21.274;73,5;136,0;;;;;;;;;;;;;
;;75 a 79;27.456;11.127;16.329;68,1;146,8;;;;;;;;;;;;;
;;80 a 84;18.659;7.289;11.370;64,1;156,0;;;;;;;;;;;;;
;;85 y más;16.712;6.110;10.602;57,6;173,5;;;;;;;;;;;;;
;Centro Poblado;Total;84.980;43.100;41.880;102,9;97,2;;;;;;;;;;;;;
;;0 a 4;6.870;3.496;3.374;103,6;96,5;;;;;;;;;;;;;
;;5 a 9;7.697;3.946;3.751;105,2;95,1;;;;;;;;;;;;;
;;10 a 14;8.128;4.142;3.986;103,9;96,2;;;;;;;;;;;;;
;;15 a 19;7.563;3.830;3.733;102,6;97,5;;;;;;;;;;;;;
;;20 a 24;6.926;3.553;3.373;105,3;94,9;;;;;;;;;;;;;
;;25 a 29;6.730;3.449;3.281;105,1;95,1;;;;;;;;;;;;;
;;30 a 34;6.311;3.212;3.099;103,6;96,5;;;;;;;;;;;;;
;;35 a 39;5.891;2.951;2.940;100,4;99,6;;;;;;;;;;;;;
;;40 a 44;5.456;2.739;2.717;100,8;99,2;;;;;;;;;;;;;
;;45 a 49;5.050;2.523;2.527;99,8;100,2;;;;;;;;;;;;;
;;50 a 54;4.660;2.319;2.341;99,1;100,9;;;;;;;;;;;;;
;;55 a 59;3.904;2.020;1.884;107,2;93,3;;;;;;;;;;;;;
;;60 a 64;3.146;1.603;1.543;103,9;96,3;;;;;;;;;;;;;
;;65 a 69;2.290;1.175;1.115;105,4;94,9;;;;;;;;;;;;;
;;70 a 74;1.649;841;808;104,1;96,1;;;;;;;;;;;;;
;;75 a 79;1.298;624;674;92,6;108,0;;;;;;;;;;;;;
;;80 a 84;768;384;384;100,0;100,0;;;;;;;;;;;;;
;;85 y más;643;293;350;83,7;119,5;;;;;;;;;;;;;
;Rural disperso;Total;381.116;205.160;175.956;116,6;85,8;;;;;;;;;;;;;
