;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;;0 a 4;22.142;11.423;10.719;106,6;93,8;;;;;;;;;;;;;
;;5 a 9;25.090;12.692;12.398;102,4;97,7;;;;;;;;;;;;;
;;10 a 14;29.258;14.900;14.358;103,8;96,4;;;;;;;;;;;;;
;;15 a 19;31.531;16.579;14.952;110,9;90,2;;;;;;;;;;;;;
;;20 a 24;27.434;14.236;13.198;107,9;92,7;;;;;;;;;;;;;
;;25 a 29;23.599;11.820;11.779;100,3;99,7;;;;;;;;;;;;;
;;30 a 34;21.915;10.815;11.100;97,4;102,6;;;;;;;;;;;;;
;;35 a 39;20.301;9.991;10.310;96,9;103,2;;;;;;;;;;;;;
;;40 a 44;17.197;8.366;8.831;94,7;105,6;;;;;;;;;;;;;
;;45 a 49;15.513;7.451;8.062;92,4;108,2;;;;;;;;;;;;;
;;50 a 54;12.942;6.309;6.633;95,1;105,1;;;;;;;;;;;;;
;;55 a 59;10.573;5.359;5.214;102,8;97,3;;;;;;;;;;;;;
;;60 a 64;7.996;4.010;3.986;100,6;99,4;;;;;;;;;;;;;
;;65 a 69;6.122;3.110;3.012;103,3;96,8;;;;;;;;;;;;;
;;70 a 74;4.560;2.377;2.183;108,9;91,8;;;;;;;;;;;;;
;;75 a 79;3.268;1.643;1.625;101,1;98,9;;;;;;;;;;;;;
;;80 a 84;2.067;1.044;1.023;102,1;98,0;;;;;;;;;;;;;
;;85 y más;1.689;775;914;84,8;117,9;;;;;;;;;;;;;
;Cabecera;Total;158.643;77.013;81.630;94,3;106,0;;;;;;;;;;;;;
;;0 a 4;11.997;6.165;5.832;105,7;94,6;;;;;;;;;;;;;
;;5 a 9;13.180;6.550;6.630;98,8;101,2;;;;;;;;;;;;;
;;10 a 14;14.946;7.555;7.391;102,2;97,8;;;;;;;;;;;;;
;;15 a 19;16.909;8.680;8.229;105,5;94,8;;;;;;;;;;;;;
;;20 a 24;15.931;8.036;7.895;101,8;98,2;;;;;;;;;;;;;
;;25 a 29;14.116;6.853;7.263;94,4;106,0;;;;;;;;;;;;;
;;30 a 34;13.060;6.259;6.801;92,0;108,7;;;;;;;;;;;;;
;;35 a 39;11.909;5.573;6.336;88,0;113,7;;;;;;;;;;;;;
;;40 a 44;9.936;4.560;5.376;84,8;117,9;;;;;;;;;;;;;
;;45 a 49;8.906;3.949;4.957;79,7;125,5;;;;;;;;;;;;;
;;50 a 54;7.553;3.390;4.163;81,4;122,8;;;;;;;;;;;;;
;;55 a 59;6.056;2.840;3.216;88,3;113,2;;;;;;;;;;;;;
;;60 a 64;4.491;2.076;2.415;86,0;116,3;;;;;;;;;;;;;
;;65 a 69;3.321;1.567;1.754;89,3;111,9;;;;;;;;;;;;;
;;70 a 74;2.462;1.146;1.316;87,1;114,8;;;;;;;;;;;;;
;;75 a 79;1.775;828;947;87,4;114,4;;;;;;;;;;;;;
;;80 a 84;1.114;543;571;95,1;105,2;;;;;;;;;;;;;
;;85 y más;981;443;538;82,3;121,4;;;;;;;;;;;;;
;Centro Poblado;Total;24.198;12.412;11.786;105,3;95,0;;;;;;;;;;;;;
;;0 a 4;1.895;958;937;102,2;97,8;;;;;;;;;;;;;
;;5 a 9;2.284;1.181;1.103;107,1;93,4;;;;;;;;;;;;;
;;10 a 14;2.605;1.320;1.285;102,7;97,3;;;;;;;;;;;;;
;;15 a 19;2.845;1.556;1.289;120,7;82,8;;;;;;;;;;;;;
;;20 a 24;2.404;1.293;1.111;116,4;85,9;;;;;;;;;;;;;
;;25 a 29;1.968;1.003;965;103,9;96,2;;;;;;;;;;;;;
;;30 a 34;1.794;897;897;100,0;100,0;;;;;;;;;;;;;
;;35 a 39;1.675;843;832;101,3;98,7;;;;;;;;;;;;;
;;40 a 44;1.387;675;712;94,8;105,5;;;;;;;;;;;;;
;;45 a 49;1.368;664;704;94,3;106,0;;;;;;;;;;;;;
;;50 a 54;1.014;502;512;98,0;102,0;;;;;;;;;;;;;
;;55 a 59;850;445;405;109,9;91,0;;;;;;;;;;;;;
;;60 a 64;627;306;321;95,3;104,9;;;;;;;;;;;;;
;;65 a 69;486;260;226;115,0;86,9;;;;;;;;;;;;;
;;70 a 74;382;203;179;113,4;88,2;;;;;;;;;;;;;
;;75 a 79;279;145;134;108,2;92,4;;;;;;;;;;;;;
;;80 a 84;194;96;98;98,0;102,1;;;;;;;;;;;;;
;;85 y más;141;65;76;85,5;116,9;;;;;;;;;;;;;
;Rural disperso;Total;100.356;53.475;46.881;114,1;87,7;;;;;;;;;;;;;
;;0 a 4;8.250;4.300;3.950;108,9;91,9;;;;;;;;;;;;;
;;5 a 9;9.626;4.961;4.665;106,3;94,0;;;;;;;;;;;;;
;;10 a 14;11.707;6.025;5.682;106,0;94,3;;;;;;;;;;;;;
;;15 a 19;11.777;6.343;5.434;116,7;85,7;;;;;;;;;;;;;
;;20 a 24;9.099;4.907;4.192;117,1;85,4;;;;;;;;;;;;;
;;25 a 29;7.515;3.964;3.551;111,6;89,6;;;;;;;;;;;;;
;;30 a 34;7.061;3.659;3.402;107,6;93,0;;;;;;;;;;;;;
;;35 a 39;6.717;3.575;3.142;113,8;87,9;;;;;;;;;;;;;
;;40 a 44;5.874;3.131;2.743;114,1;87,6;;;;;;;;;;;;;
;;45 a 49;5.239;2.838;2.401;118,2;84,6;;;;;;;;;;;;;
;;50 a 54;4.375;2.417;1.958;123,4;81,0;;;;;;;;;;;;;
;;55 a 59;3.667;2.074;1.593;130,2;76,8;;;;;;;;;;;;;
;;60 a 64;2.878;1.628;1.250;130,2;76,8;;;;;;;;;;;;;
;;65 a 69;2.315;1.283;1.032;124,3;80,4;;;;;;;;;;;;;
;;70 a 74;1.716;1.028;688;149,4;66,9;;;;;;;;;;;;;
;;75 a 79;1.214;670;544;123,2;81,2;;;;;;;;;;;;;
;;80 a 84;759;405;354;114,4;87,4;;;;;;;;;;;;;
;;85 y más;567;267;300;89,0;112,4;;;;;;;;;;;;;
88_Archipiélago de San Andrés, Providencia y Santa Catalina;Total;Total;48.299;23.326;24.973;93,4;107,1;;;;;;;;;;;;;
;;0 a 4;3.350;1.742;1.608;108,3;92,3;;;;;;;;;;;;;
;;5 a 9;3.449;1.773;1.676;105,8;94,5;;;;;;;;;;;;;
;;10 a 14;3.575;1.810;1.765;102,5;97,5;;;;;;;;;;;;;
;;15 a 19;3.639;1.905;1.734;109,9;91,0;;;;;;;;;;;;;
;;20 a 24;3.764;1.930;1.834;105,2;95,0;;;;;;;;;;;;;
;;25 a 29;4.261;2.123;2.138;99,3;100,7;;;;;;;;;;;;;
;;30 a 34;3.746;1.788;1.958;91,3;109,5;;;;;;;;;;;;;
;;35 a 39;3.480;1.666;1.814;91,8;108,9;;;;;;;;;;;;;
;;40 a 44;3.034;1.403;1.631;86,0;116,3;;;;;;;;;;;;;
;;45 a 49;3.191;1.438;1.753;82,0;121,9;;;;;;;;;;;;;
;;50 a 54;3.586;1.662;1.924;86,4;115,8;;;;;;;;;;;;;
;;55 a 59;3.353;1.533;1.820;84,2;118,7;;;;;;;;;;;;;
;;60 a 64;2.240;999;1.241;80,5;124,2;;;;;;;;;;;;;
;;65 a 69;1.460;645;815;79,1;126,4;;;;;;;;;;;;;
;;70 a 74;924;408;516;79,1;126,5;;;;;;;;;;;;;
;;75 a 79;608;262;346;75,7;132,1;;;;;;;;;;;;;
;;80 a 84;354;141;213;66,2;151,1;;;;;;;;;;;;;
;;85 y más;285;98;187;52,4;190,8;;;;;;;;;;;;;
;Cabecera;Total;32.159;15.497;16.662;93,0;107,5;;;;;;;;;;;;;
;;0 a 4;2.262;1.187;1.075;110,4;90,6;;;;;;;;;;;;;
;;5 a 9;2.236;1.122;1.114;100,7;99,3;;;;;;;;;;;;;
;;10 a 14;2.328;1.188;1.140;104,2;96,0;;;;;;;;;;;;;
;;15 a 19;2.350;1.233;1.117;110,4;90,6;;;;;;;;;;;;;
;;20 a 24;2.505;1.283;1.222;105,0;95,2;;;;;;;;;;;;;
;;25 a 29;2.884;1.440;1.444;99,7;100,3;;;;;;;;;;;;;
;;30 a 34;2.488;1.203;1.285;93,6;106,8;;;;;;;;;;;;;
;;35 a 39;2.274;1.070;1.204;88,9;112,5;;;;;;;;;;;;;
;;40 a 44;1.960;909;1.051;86,5;115,6;;;;;;;;;;;;;
;;45 a 49;2.144;985;1.159;85,0;117,7;;;;;;;;;;;;;
;;50 a 54;2.479;1.150;1.329;86,5;115,6;;;;;;;;;;;;;
;;55 a 59;2.362;1.055;1.307;80,7;123,9;;;;;;;;;;;;;
;;60 a 64;1.555;697;858;81,2;123,1;;;;;;;;;;;;;
;;65 a 69;977;419;558;75,1;133,2;;;;;;;;;;;;;
;;70 a 74;581;252;329;76,6;130,6;;;;;;;;;;;;;
;;75 a 79;367;155;212;73,1;136,8;;;;;;;;;;;;;
;;80 a 84;228;92;136;67,6;147,8;;;;;;;;;;;;;
;;85 y más;179;57;122;46,7;214,0;;;;;;;;;;;;;
;Centro Poblado;Total;14.733;7.015;7.718;90,9;110,0;;;;;;;;;;;;;
;;0 a 4;1.005;509;496;102,6;97,4;;;;;;;;;;;;;
;;5 a 9;1.131;609;522;116,7;85,7;;;;;;;;;;;;;
;;10 a 14;1.164;581;583;99,7;100,3;;;;;;;;;;;;;
;;15 a 19;1.191;615;576;106,8;93,7;;;;;;;;;;;;;
;;20 a 24;1.129;562;567;99,1;100,9;;;;;;;;;;;;;
;;25 a 29;1.218;581;637;91,2;109,6;;;;;;;;;;;;;
;;30 a 34;1.114;496;618;80,3;124,6;;;;;;;;;;;;;
;;35 a 39;1.081;512;569;90,0;111,1;;;;;;;;;;;;;
;;40 a 44;985;448;537;83,4;119,9;;;;;;;;;;;;;
;;45 a 49;962;411;551;74,6;134,1;;;;;;;;;;;;;
;;50 a 54;1.005;454;551;82,4;121,4;;;;;;;;;;;;;
;;55 a 59;912;431;481;89,6;111,6;;;;;;;;;;;;;
;;60 a 64;625;274;351;78,1;128,1;;;;;;;;;;;;;
;;65 a 69;452;208;244;85,2;117,3;;;;;;;;;;;;;
;;70 a 74;323;146;177;82,5;121,2;;;;;;;;;;;;;
;;75 a 79;220;96;124;77,4;129,2;;;;;;;;;;;;;
;;80 a 84;117;43;74;58,1;172,1;;;;;;;;;;;;;
;;85 y más;99;39;60;65,0;153,8;;;;;;;;;;;;;
;Rural disperso;Total;1.407;814;593;137,3;72,9;;;;;;;;;;;;;
;;0 a 4;83;46;37;124,3;80,4;;;;;;;;;;;;;
;;5 a 9;82;42;40;105,0;95,2;;;;;;;;;;;;;
;;10 a 14;83;41;42;97,6;102,4;;;;;;;;;;;;;
;;15 a 19;98;57;41;139,0;71,9;;;;;;;;;;;;;
;;20 a 24;130;85;45;188,9;52,9;;;;;;;;;;;;;
;;25 a 29;159;102;57;178,9;55,9;;;;;;;;;;;;;
;;30 a 34;144;89;55;161,8;61,8;;;;;;;;;;;;;
;;35 a 39;125;84;41;204,9;48,8;;;;;;;;;;;;;
;;40 a 44;89;46;43;107,0;93,5;;;;;;;;;;;;;
;;45 a 49;85;42;43;97,7;102,4;;;;;;;;;;;;;
;;50 a 54;102;58;44;131,8;75,9;;;;;;;;;;;;;
;;55 a 59;79;47;32;146,9;68,1;;;;;;;;;;;;;
;;60 a 64;60;28;32;87,5;114,3;;;;;;;;;;;;;
;;65 a 69;31;18;13;138,5;72,2;;;;;;;;;;;;;
;;70 a 74;20;10;10;100,0;100,0;;;;;;;;;;;;;
;;75 a 79;21;11;10;110,0;90,9;;;;;;;;;;;;;
;;80 a 84;9;6;3;200,0;50,0;;;;;;;;;;;;;
;;85 y más;7;2;5;40,0;250,0;;;;;;;;;;;;;
91_Amazonas;Total;Total;66.056;34.422;31.634;108,8;91,9;;;;;;;;;;;;;
;;0 a 4;7.073;3.666;3.407;107,6;92,9;;;;;;;;;;;;;
;;5 a 9;7.705;3.922;3.783;103,7;96,5;;;;;;;;;;;;;
;;10 a 14;8.564;4.400;4.164;105,7;94,6;;;;;;;;;;;;;
;;15 a 19;8.521;4.682;3.839;122,0;82,0;;;;;;;;;;;;;
;;20 a 24;5.763;3.206;2.557;125,4;79,8;;;;;;;;;;;;;
;;25 a 29;5.091;2.608;2.483;105,0;95,2;;;;;;;;;;;;;
;;30 a 34;4.543;2.308;2.235;103,3;96,8;;;;;;;;;;;;;
;;35 a 39;4.040;2.044;1.996;102,4;97,7;;;;;;;;;;;;;
;;40 a 44;3.257;1.710;1.547;110,5;90,5;;;;;;;;;;;;;
;;45 a 49;2.844;1.445;1.399;103,3;96,8;;;;;;;;;;;;;
;;50 a 54;2.363;1.174;1.189;98,7;101,3;;;;;;;;;;;;;
;;55 a 59;1.979;1.052;927;113,5;88,1;;;;;;;;;;;;;
;;60 a 64;1.486;780;706;110,5;90,5;;;;;;;;;;;;;
;;65 a 69;1.109;579;530;109,2;91,5;;;;;;;;;;;;;
;;70 a 74;660;326;334;97,6;102,5;;;;;;;;;;;;;
;;75 a 79;592;292;300;97,3;102,7;;;;;;;;;;;;;
;;80 a 84;256;132;124;106,5;93,9;;;;;;;;;;;;;
;;85 y más;210;96;114;84,2;118,8;;;;;;;;;;;;;
;Cabecera;Total;34.596;17.674;16.922;104,4;95,7;;;;;;;;;;;;;
;;0 a 4;3.333;1.744;1.589;109,8;91,1;;;;;;;;;;;;;
;;5 a 9;3.473;1.733;1.740;99,6;100,4;;;;;;;;;;;;;
;;10 a 14;3.873;2.002;1.871;107,0;93,5;;;;;;;;;;;;;
;;15 a 19;3.986;2.233;1.753;127,4;78,5;;;;;;;;;;;;;
;;20 a 24;3.125;1.733;1.392;124,5;80,3;;;;;;;;;;;;;
;;25 a 29;3.017;1.505;1.512;99,5;100,5;;;;;;;;;;;;;
;;30 a 34;2.709;1.333;1.376;96,9;103,2;;;;;;;;;;;;;
;;35 a 39;2.390;1.184;1.206;98,2;101,9;;;;;;;;;;;;;
;;40 a 44;1.896;916;980;93,5;107,0;;;;;;;;;;;;;
;;45 a 49;1.742;821;921;89,1;112,2;;;;;;;;;;;;;
;;50 a 54;1.473;706;767;92,0;108,6;;;;;;;;;;;;;
;;55 a 59;1.188;581;607;95,7;104,5;;;;;;;;;;;;;
;;60 a 64;852;426;426;100,0;100,0;;;;;;;;;;;;;
;;65 a 69;626;337;289;116,6;85,8;;;;;;;;;;;;;
;;70 a 74;373;169;204;82,8;120,7;;;;;;;;;;;;;
;;75 a 79;274;128;146;87,7;114,1;;;;;;;;;;;;;
;;80 a 84;138;65;73;89,0;112,3;;;;;;;;;;;;;
;;85 y más;128;58;70;82,9;120,7;;;;;;;;;;;;;
;Centro Poblado;Total;15.966;8.500;7.466;113,8;87,8;;;;;;;;;;;;;
;;0 a 4;1.931;1.004;927;108,3;92,3;;;;;;;;;;;;;
;;5 a 9;2.051;1.094;957;114,3;87,5;;;;;;;;;;;;;
;;10 a 14;2.083;1.055;1.028;102,6;97,4;;;;;;;;;;;;;
;;15 a 19;2.098;1.121;977;114,7;87,2;;;;;;;;;;;;;
;;20 a 24;1.444;784;660;118,8;84,2;;;;;;;;;;;;;
;;25 a 29;1.156;609;547;111,3;89,8;;;;;;;;;;;;;
;;30 a 34;1.003;529;474;111,6;89,6;;;;;;;;;;;;;
;;35 a 39;914;471;443;106,3;94,1;;;;;;;;;;;;;
;;40 a 44;735;426;309;137,9;72,5;;;;;;;;;;;;;
;;45 a 49;592;321;271;118,5;84,4;;;;;;;;;;;;;
;;50 a 54;489;262;227;115,4;86,6;;;;;;;;;;;;;
;;55 a 59;464;268;196;136,7;73,1;;;;;;;;;;;;;
;;60 a 64;350;202;148;136,5;73,3;;;;;;;;;;;;;
;;65 a 69;249;139;110;126,4;79,1;;;;;;;;;;;;;
;;70 a 74;150;89;61;145,9;68,5;;;;;;;;;;;;;
;;75 a 79;149;72;77;93,5;106,9;;;;;;;;;;;;;
;;80 a 84;68;37;31;119,4;83,8;;;;;;;;;;;;;
;;85 y más;40;17;23;73,9;135,3;;;;;;;;;;;;;
;Rural disperso;Total;15.494;8.248;7.246;113,8;87,9;;;;;;;;;;;;;
;;0 a 4;1.809;918;891;103,0;97,1;;;;;;;;;;;;;
;;5 a 9;2.181;1.095;1.086;100,8;99,2;;;;;;;;;;;;;
;;10 a 14;2.608;1.343;1.265;106,2;94,2;;;;;;;;;;;;;
;;15 a 19;2.437;1.328;1.109;119,7;83,5;;;;;;;;;;;;;
;;20 a 24;1.194;689;505;136,4;73,3;;;;;;;;;;;;;
;;25 a 29;918;494;424;116,5;85,8;;;;;;;;;;;;;
;;30 a 34;831;446;385;115,8;86,3;;;;;;;;;;;;;
;;35 a 39;736;389;347;112,1;89,2;;;;;;;;;;;;;
;;40 a 44;626;368;258;142,6;70,1;;;;;;;;;;;;;
;;45 a 49;510;303;207;146,4;68,3;;;;;;;;;;;;;
;;50 a 54;401;206;195;105,6;94,7;;;;;;;;;;;;;
;;55 a 59;327;203;124;163,7;61,1;;;;;;;;;;;;;
;;60 a 64;284;152;132;115,2;86,8;;;;;;;;;;;;;
;;65 a 69;234;103;131;78,6;127,2;;;;;;;;;;;;;
;;70 a 74;137;68;69;98,6;101,5;;;;;;;;;;;;;
;;75 a 79;169;92;77;119,5;83,7;;;;;;;;;;;;;
;;80 a 84;50;30;20;150,0;66,7;;;;;;;;;;;;;
;;85 y más;42;21;21;100,0;100,0;;;;;;;;;;;;;
94_Guainía;Total;Total;44.431;23.214;21.217;109,4;91,4;;;;;;;;;;;;;
;;0 a 4;4.275;2.182;2.093;104,3;95,9;;;;;;;;;;;;;
;;5 a 9;6.887;3.469;3.418;101,5;98,5;;;;;;;;;;;;;
;;10 a 14;6.466;3.356;3.110;107,9;92,7;;;;;;;;;;;;;
;;15 a 19;5.562;3.010;2.552;117,9;84,8;;;;;;;;;;;;;
;;20 a 24;4.220;2.372;1.848;128,4;77,9;;;;;;;;;;;;;
;;25 a 29;3.114;1.557;1.557;100,0;100,0;;;;;;;;;;;;;
;;30 a 34;2.645;1.365;1.280;106,6;93,8;;;;;;;;;;;;;
;;35 a 39;2.425;1.244;1.181;105,3;94,9;;;;;;;;;;;;;
;;40 a 44;2.017;1.012;1.005;100,7;99,3;;;;;;;;;;;;;
;;45 a 49;1.764;931;833;111,8;89,5;;;;;;;;;;;;;
;;50 a 54;1.494;780;714;109,2;91,5;;;;;;;;;;;;;
;;55 a 59;1.255;688;567;121,3;82,4;;;;;;;;;;;;;
;;60 a 64;739;415;324;128,1;78,1;;;;;;;;;;;;;
;;65 a 69;588;312;276;113,0;88,5;;;;;;;;;;;;;
;;70 a 74;448;246;202;121,8;82,1;;;;;;;;;;;;;
;;75 a 79;291;152;139;109,4;91,4;;;;;;;;;;;;;
;;80 a 84;128;66;62;106,5;93,9;;;;;;;;;;;;;
;;85 y más;113;57;56;101,8;98,2;;;;;;;;;;;;;
;Cabecera;Total;19.326;9.775;9.551;102,3;97,7;;;;;;;;;;;;;
;;0 a 4;1.862;949;913;103,9;96,2;;;;;;;;;;;;;
;;5 a 9;1.956;994;962;103,3;96,8;;;;;;;;;;;;;
;;10 a 14;1.968;995;973;102,3;97,8;;;;;;;;;;;;;
;;15 a 19;2.064;1.062;1.002;106,0;94,4;;;;;;;;;;;;;
;;20 a 24;2.069;1.091;978;111,6;89,6;;;;;;;;;;;;;
;;25 a 29;1.670;818;852;96,0;104,2;;;;;;;;;;;;;
;;30 a 34;1.451;726;725;100,1;99,9;;;;;;;;;;;;;
;;35 a 39;1.348;637;711;89,6;111,6;;;;;;;;;;;;;
;;40 a 44;1.121;528;593;89,0;112,3;;;;;;;;;;;;;
;;45 a 49;1.015;520;495;105,1;95,2;;;;;;;;;;;;;
;;50 a 54;840;415;425;97,6;102,4;;;;;;;;;;;;;
;;55 a 59;694;368;326;112,9;88,6;;;;;;;;;;;;;
;;60 a 64;425;225;200;112,5;88,9;;;;;;;;;;;;;
;;65 a 69;308;155;153;101,3;98,7;;;;;;;;;;;;;
;;70 a 74;245;140;105;133,3;75,0;;;;;;;;;;;;;
;;75 a 79;172;91;81;112,3;89,0;;;;;;;;;;;;;
;;80 a 84;62;32;30;106,7;93,8;;;;;;;;;;;;;
;;85 y más;56;29;27;107,4;93,1;;;;;;;;;;;;;
;Centro Poblado;Total;4.315;2.264;2.051;110,4;90,6;;;;;;;;;;;;;
;;0 a 4;493;247;246;100,4;99,6;;;;;;;;;;;;;
;;5 a 9;602;320;282;113,5;88,1;;;;;;;;;;;;;
;;10 a 14;527;269;258;104,3;95,9;;;;;;;;;;;;;
;;15 a 19;531;262;269;97,4;102,7;;;;;;;;;;;;;
;;20 a 24;411;219;192;114,1;87,7;;;;;;;;;;;;;
;;25 a 29;344;161;183;88,0;113,7;;;;;;;;;;;;;
;;30 a 34;258;140;118;118,6;84,3;;;;;;;;;;;;;
;;35 a 39;259;142;117;121,4;82,4;;;;;;;;;;;;;
;;40 a 44;199;112;87;128,7;77,7;;;;;;;;;;;;;
;;45 a 49;179;96;83;115,7;86,5;;;;;;;;;;;;;
;;50 a 54;148;81;67;120,9;82,7;;;;;;;;;;;;;
;;55 a 59;127;77;50;154,0;64,9;;;;;;;;;;;;;
;;60 a 64;80;51;29;175,9;56,9;;;;;;;;;;;;;
;;65 a 69;57;32;25;128,0;78,1;;;;;;;;;;;;;
;;70 a 74;45;27;18;150,0;66,7;;;;;;;;;;;;;
;;75 a 79;27;14;13;107,7;92,9;;;;;;;;;;;;;
;;80 a 84;18;8;10;80,0;125,0;;;;;;;;;;;;;
;;85 y más;10;6;4;150,0;66,7;;;;;;;;;;;;;
;Rural disperso;Total;20.790;11.175;9.615;116,2;86,0;;;;;;;;;;;;;
;;0 a 4;1.920;986;934;105,6;94,7;;;;;;;;;;;;;
;;5 a 9;4.329;2.155;2.174;99,1;100,9;;;;;;;;;;;;;
;;10 a 14;3.971;2.092;1.879;111,3;89,8;;;;;;;;;;;;;
;;15 a 19;2.967;1.686;1.281;131,6;76,0;;;;;;;;;;;;;
;;20 a 24;1.740;1.062;678;156,6;63,8;;;;;;;;;;;;;
;;25 a 29;1.100;578;522;110,7;90,3;;;;;;;;;;;;;
;;30 a 34;936;499;437;114,2;87,6;;;;;;;;;;;;;
;;35 a 39;818;465;353;131,7;75,9;;;;;;;;;;;;;
;;40 a 44;697;372;325;114,5;87,4;;;;;;;;;;;;;
;;45 a 49;570;315;255;123,5;81,0;;;;;;;;;;;;;
;;50 a 54;506;284;222;127,9;78,2;;;;;;;;;;;;;
;;55 a 59;434;243;191;127,2;78,6;;;;;;;;;;;;;
;;60 a 64;234;139;95;146,3;68,3;;;;;;;;;;;;;
;;65 a 69;223;125;98;127,6;78,4;;;;;;;;;;;;;
;;70 a 74;158;79;79;100,0;100,0;;;;;;;;;;;;;
;;75 a 79;92;47;45;104,4;95,7;;;;;;;;;;;;;
;;80 a 84;48;26;22;118,2;84,6;;;;;;;;;;;;;
;;85 y más;47;22;25;88,0;113,6;;;;;;;;;;;;;
95_Guaviare;Total;Total;73.081;39.080;34.001;114,9;87,0;;;;;;;;;;;;;
;;0 a 4;5.243;2.742;2.501;109,6;91,2;;;;;;;;;;;;;
;;5 a 9;7.148;3.661;3.487;105,0;95,2;;;;;;;;;;;;;
;;10 a 14;8.556;4.296;4.260;100,8;99,2;;;;;;;;;;;;;
;;15 a 19;8.363;4.719;3.644;129,5;77,2;;;;;;;;;;;;;
;;20 a 24;7.002;3.947;3.055;129,2;77,4;;;;;;;;;;;;;
;;25 a 29;5.528;2.956;2.572;114,9;87,0;;;;;;;;;;;;;
;;30 a 34;5.115;2.661;2.454;108,4;92,2;;;;;;;;;;;;;
;;35 a 39;4.768;2.440;2.328;104,8;95,4;;;;;;;;;;;;;
;;40 a 44;4.526;2.297;2.229;103,1;97,0;;;;;;;;;;;;;
;;45 a 49;4.031;2.132;1.899;112,3;89,1;;;;;;;;;;;;;
;;50 a 54;3.719;2.025;1.694;119,5;83,7;;;;;;;;;;;;;
;;55 a 59;3.060;1.730;1.330;130,1;76,9;;;;;;;;;;;;;
;;60 a 64;2.195;1.248;947;131,8;75,9;;;;;;;;;;;;;
;;65 a 69;1.503;868;635;136,7;73,2;;;;;;;;;;;;;
;;70 a 74;1.017;601;416;144,5;69,2;;;;;;;;;;;;;
;;75 a 79;665;388;277;140,1;71,4;;;;;;;;;;;;;
;;80 a 84;376;231;145;159,3;62,8;;;;;;;;;;;;;
;;85 y más;266;138;128;107,8;92,8;;;;;;;;;;;;;
;Cabecera;Total;43.401;21.761;21.640;100,6;99,4;;;;;;;;;;;;;
;;0 a 4;3.268;1.707;1.561;109,4;91,4;;;;;;;;;;;;;
;;5 a 9;3.776;1.901;1.875;101,4;98,6;;;;;;;;;;;;;
;;10 a 14;4.578;2.267;2.311;98,1;101,9;;;;;;;;;;;;;
;;15 a 19;4.634;2.446;2.188;111,8;89,5;;;;;;;;;;;;;
;;20 a 24;4.635;2.443;2.192;111,5;89,7;;;;;;;;;;;;;
;;25 a 29;3.826;2.004;1.822;110,0;90,9;;;;;;;;;;;;;
;;30 a 34;3.401;1.698;1.703;99,7;100,3;;;;;;;;;;;;;
;;35 a 39;3.095;1.505;1.590;94,7;105,6;;;;;;;;;;;;;
;;40 a 44;2.751;1.252;1.499;83,5;119,7;;;;;;;;;;;;;
;;45 a 49;2.252;1.054;1.198;88,0;113,7;;;;;;;;;;;;;
;;50 a 54;2.123;986;1.137;86,7;115,3;;;;;;;;;;;;;
;;55 a 59;1.682;806;876;92,0;108,7;;;;;;;;;;;;;
;;60 a 64;1.187;573;614;93,3;107,2;;;;;;;;;;;;;
;;65 a 69;810;403;407;99,0;101,0;;;;;;;;;;;;;
;;70 a 74;586;296;290;102,1;98,0;;;;;;;;;;;;;
;;75 a 79;379;192;187;102,7;97,4;;;;;;;;;;;;;
;;80 a 84;245;140;105;133,3;75,0;;;;;;;;;;;;;
;;85 y más;173;88;85;103,5;96,6;;;;;;;;;;;;;
;Centro Poblado;Total;5.039;2.662;2.377;112,0;89,3;;;;;;;;;;;;;
;;0 a 4;317;161;156;103,2;96,9;;;;;;;;;;;;;
;;5 a 9;607;330;277;119,1;83,9;;;;;;;;;;;;;
;;10 a 14;803;385;418;92,1;108,6;;;;;;;;;;;;;
;;15 a 19;699;394;305;129,2;77,4;;;;;;;;;;;;;
;;20 a 24;358;185;173;106,9;93,5;;;;;;;;;;;;;
;;25 a 29;291;132;159;83,0;120,5;;;;;;;;;;;;;
;;30 a 34;320;155;165;93,9;106,5;;;;;;;;;;;;;
;;35 a 39;312;149;163;91,4;109,4;;;;;;;;;;;;;
;;40 a 44;296;158;138;114,5;87,3;;;;;;;;;;;;;
;;45 a 49;290;172;118;145,8;68,6;;;;;;;;;;;;;
;;50 a 54;226;129;97;133,0;75,2;;;;;;;;;;;;;
;;55 a 59;167;111;56;198,2;50,5;;;;;;;;;;;;;
;;60 a 64;149;85;64;132,8;75,3;;;;;;;;;;;;;
;;65 a 69;87;48;39;123,1;81,3;;;;;;;;;;;;;
