anio,codigo_depto,departamento,pib_const_2015_miles_mm
2013,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",251.39
2013,68,SANTANDER,33729.64
2013,70,SUCRE,2862.04
2013,73,TOLIMA,9541.44
2013,76,VALLE DEL CAUCA,40653.73
2013,97,VAUPÉS,64.74
2013,99,VICHADA,245.08
2014,91,AMAZONAS,191.07
2014,05,ANTIOQUIA,63844.91
2014,81,ARAUCA,3213.60
2014,08,ATLÁNTICO,16540.85
2014,11,BOGOTÁ D.C.,101225.70
2014,13,BOLÍVAR,15230.38
2014,15,BOYACÁ,12078.08
2014,17,CALDAS,6246.35
2014,18,CAQUETÁ,1621.95
2014,85,CASANARE,9792.74
2014,19,CAUCA,7908.24
2014,20,CESAR,9392.87
2014,27,CHOCÓ,1933.48
2014,25,CUNDINAMARCA,28643.85
2014,23,CÓRDOBA,6404.25
2014,94,GUAINÍA,129.83
2014,95,GUAVIARE,292.53
2014,41,HUILA,8157.84
2014,44,LA GUAJIRA,5538.78
2014,47,MAGDALENA,4636.04
2014,50,META,23498.32
2014,52,NARIÑO,5581.11
2014,54,NORTE DE SANTANDER,6239.45
2014,86,PUTUMAYO,2395.60
2014,63,QUINDÍO,3198.78
2014,66,RISARALDA,6335.08
2014,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",264.65
2014,68,SANTANDER,37062.53
2014,70,SUCRE,2999.89
2014,73,TOLIMA,9898.47
2014,76,VALLE DEL CAUCA,42580.24
2014,97,VAUPÉS,63.03
2014,99,VICHADA,254.94
2015,91,AMAZONAS,207.27
2015,05,ANTIOQUIA,66385.03
2015,81,ARAUCA,3394.02
2015,08,ATLÁNTICO,17736.81
2015,11,BOGOTÁ D.C.,105815.79
2015,13,BOLÍVAR,15259.48
2015,15,BOYACÁ,12918.42
2015,17,CALDAS,5181.27
2015,18,CAQUETÁ,1614.07
2015,85,CASANARE,9705.83
2015,19,CAUCA,8393.05
2015,20,CESAR,9414.26
2015,27,CHOCÓ,1969.18
2015,25,CUNDINAMARCA,29970.47
2015,23,CÓRDOBA,6393.15
2015,94,GUAINÍA,141.53
2015,95,GUAVIARE,311.46
2015,41,HUILA,7891.04
2015,44,LA GUAJIRA,5360.01
2015,47,MAGDALENA,4813.19
2015,50,META,24048.35
2015,52,NARIÑO,5952.07
2015,54,NORTE DE SANTANDER,6244.16
2015,86,PUTUMAYO,2120.32
2015,63,QUINDÍO,3341.63
2015,66,RISARALDA,6387.59
2015,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",274.97
2015,68,SANTANDER,32777.24
2015,70,SUCRE,2995.38
2015,73,TOLIMA,9893.46
2015,76,VALLE DEL CAUCA,43888.15
2015,97,VAUPÉS,67.56
2015,99,VICHADA,284.82
2016,91,AMAZONAS,213.31
2016,05,ANTIOQUIA,68446.12
2016,81,ARAUCA,3103.06
2016,08,ATLÁNTICO,18103.30
2016,11,BOGOTÁ D.C.,108467.30
2016,13,BOLÍVAR,16243.81
2016,15,BOYACÁ,12993.13
2016,17,CALDAS,6702.83
2016,18,CAQUETÁ,1626.69
2016,85,CASANARE,9315.85
2016,19,CAUCA,8591.81
2016,20,CESAR,10411.99
2016,27,CHOCÓ,2101.50
